Participant Number,Age,Gender,Handedness,Language,Order,Mapping (Hand/Env),Condition Label,Condition Position,Condition Sequence,Experimental Condition,Coherence Level,Energy Level,Block ID,Block Order,Questionnaire Complete,SAM Valence (1-9),SAM Arousal (1-9),SAM Dominance (1-9),Affect VAS Valence (-100 to 100),Affect VAS Arousal (-100 to 100),Disgust VAS (0-100),Surprise VAS (0-100),Happiness VAS (0-100),Sadness VAS (0-100),Anger VAS (0-100),Fear VAS (0-100),Hand Embodiment Ownership (1-7),Hand Embodiment Agency (1-7)
P01,20,female,right,de,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_HE,high,high,B01,1,true,7,3,6,30,17,4,60,28,4,3,5,3,5
P01,20,female,right,de,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_HE,low,high,B02,2,true,7,3,4,11,6,2,18,8,18,2,1,3,4
P01,20,female,right,de,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_LE,high,low,B03,3,true,7,4,7,24,14,4,24,15,0,4,7,5,6
P01,20,female,right,de,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_LE,low,low,B04,4,true,6,4,7,18,9,3,0,23,49,1,4,5,5
P02,33,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_HE,high,high,B01,1,true,8,7,8,57,14,5,54,66,7,13,5,7,7
P02,33,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_HE,low,high,B02,2,true,7,7,8,64,25,5,22,69,7,6,0,6,7
P02,33,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_LE,low,low,B03,3,true,5,6,5,19,-7,7,57,31,13,36,4,4,4
P02,33,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_LE,high,low,B04,4,true,4,5,3,-21,-9,73,26,19,6,47,32,4,3
P03,27,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_HE,high,high,B01,1,true,5,7,5,21,11,0,15,29,0,0,4,5,4
P03,27,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_LE,high,low,B02,2,true,6,6,6,29,26,0,0,27,0,0,0,6,5
P03,27,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_HE,low,high,B03,3,true,5,5,5,37,51,0,0,12,0,0,0,5,5
P03,27,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_LE,low,low,B04,4,true,4,4,5,7,11,3,0,0,0,0,0,5,5
P03,27,female,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,HC_HE,high,high,B01,1,true,6,6,6,11,25,0,5,10,0,0,0,6,6
P03,27,female,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,HC_LE,high,low,B02,2,true,6,7,7,7,9,0,0,8,0,0,0,6,6
P03,27,female,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,LC_HE,low,high,B03,3,true,7,8,7,21,36,0,0,7,0,0,0,6,6
P03,27,female,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,LC_LE,low,low,B04,4,true,7,7,7,8,21,0,0,9,0,0,0,6,6
P04,24,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_HE,high,high,B01,1,true,9,9,8,94,99,0,100,100,0,0,0,7,6
P04,24,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_LE,high,low,B02,2,true,9,9,8,100,100,0,100,100,0,0,0,7,7
P04,24,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_LE,low,low,B03,3,true,9,9,9,100,100,0,47,100,0,0,0,7,7
P04,24,female,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_HE,low,high,B04,4,true,9,9,8,100,100,0,42,83,0,0,0,6,6
P04,24,female,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,HC_HE,high,high,B01,1,true,9,9,9,100,100,0,39,92,0,0,0,7,7
P04,24,female,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,HC_LE,high,low,B02,2,true,9,9,9,100,100,0,37,86,0,0,0,7,7
P04,24,female,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,LC_LE,low,low,B03,3,true,9,9,9,100,95,0,35,74,0,0,0,7,7
P04,24,female,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,LC_HE,low,high,B04,4,true,9,9,9,100,100,0,52,72,0,0,0,7,7
P05,23,female,right,de,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_HE,high,high,B01,1,true,8,5,8,58,21,2,15,6,2,1,7,7,6
P05,23,female,right,de,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_LE,low,low,B02,2,true,5,5,5,14,21,7,5,0,8,0,13,5,4
P05,23,female,right,de,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_HE,low,high,B03,3,true,4,6,6,19,9,8,18,10,3,0,7,4,5
P05,23,female,right,de,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_LE,high,low,B04,4,true,2,6,4,-82,61,30,12,0,9,0,18,2,3
P05,23,female,right,de,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,HC_HE,high,high,B01,1,true,7,4,9,9,23,10,11,10,11,0,18,1,7
P05,23,female,right,de,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,LC_LE,low,low,B02,2,true,2,5,9,10,15,49,0,0,7,0,13,1,7
P05,23,female,right,de,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,HC_LE,high,low,B03,3,true,1,3,8,-16,8,37,0,0,10,0,23,1,6
P05,23,female,right,de,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,LC_HE,low,high,B04,4,true,2,4,9,3,5,19,0,0,5,0,10,1,7
P07,24,male,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_HE,low,high,B01,1,true,5,5,6,23,42,0,1,0,1,2,0,5,6
P07,24,male,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_HE,high,high,B02,2,true,6,6,6,54,32,0,0,6,0,0,5,5,6
P07,24,male,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_LE,high,low,B03,3,true,7,7,7,44,42,0,0,2,1,0,0,5,6
P07,24,male,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_LE,low,low,B04,4,true,7,7,7,39,17,0,16,2,3,2,0,6,6
P07,24,male,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,HC_HE,high,high,B01,1,true,7,7,7,38,43,0,0,0,1,0,0,6,5
P07,24,male,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,LC_LE,low,low,B02,2,true,7,7,7,65,36,0,0,0,1,0,0,6,5
P07,24,male,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,LC_HE,low,high,B03,3,true,7,7,7,43,38,0,0,0,0,1,0,6,6
P07,24,male,right,en,2,Env,Static Hands + Dynamic Icosphere,2,Hand-mapping first,HC_LE,high,low,B04,4,true,7,7,7,43,41,0,0,1,0,0,0,6,6
P09,26,female,right,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,LC_HE,low,high,B01,1,true,9,2,7,95,-61,0,0,79,0,15,6,6,7
P09,26,female,right,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,HC_LE,high,low,B02,2,true,8,1,8,86,-73,0,0,10,82,0,5,6,7
P09,26,female,right,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,HC_HE,high,high,B03,3,true,4,6,9,-43,46,5,0,0,2,50,90,5,6
P09,26,female,right,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,LC_LE,low,low,B04,4,true,6,2,7,55,-68,4,65,85,3,0,0,3,5
P11,52,male,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_HE,low,high,B01,1,true,8,3,3,-32,-35,14,37,36,18,7,0,3,6
P11,52,male,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,LC_LE,low,low,B02,2,true,6,8,7,61,-66,12,3,51,6,4,0,4,6
P11,52,male,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_HE,high,high,B03,3,true,7,4,8,12,-27,3,0,24,1,4,0,3,6
P11,52,male,right,en,1,Hand,Dynamic Hands + Static Icosphere,1,Hand-mapping first,HC_LE,high,low,B04,4,true,5,3,8,-22,-58,0,26,11,1,6,0,3,6
P14,19,female,left,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,HC_LE,high,low,B01,1,true,8,6,8,75,82,1,51,82,3,33,1,6,7
P14,19,female,left,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,HC_HE,high,high,B02,2,true,7,6,8,57,59,1,0,47,2,25,4,6,7
P14,19,female,left,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,LC_LE,low,low,B03,3,true,5,6,8,35,46,2,4,42,5,20,2,6,7
P14,19,female,left,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,LC_HE,low,high,B04,4,true,6,6,8,29,27,8,31,38,3,1,3,6,7
P14,19,female,left,en,2,Hand,Dynamic Hands + Static Icosphere,2,Env-mapping first,HC_LE,high,low,B01,1,true,7,7,8,64,75,2,1,48,0,0,0,6,7
P14,19,female,left,en,2,Hand,Dynamic Hands + Static Icosphere,2,Env-mapping first,HC_HE,high,high,B02,2,true,7,6,8,44,44,9,2,27,4,10,0,6,7
P14,19,female,left,en,2,Hand,Dynamic Hands + Static Icosphere,2,Env-mapping first,LC_LE,low,low,B03,3,true,6,6,9,37,38,1,0,11,1,5,4,6,7
P14,19,female,left,en,2,Hand,Dynamic Hands + Static Icosphere,2,Env-mapping first,LC_HE,low,high,B04,4,true,6,5,7,18,21,1,7,0,3,0,0,6,7
P23,20,male,left,de,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,LC_LE,low,low,B01,1,true,8,3,7,80,38,0,60,39,0,0,0,2,4
P23,20,male,left,de,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,HC_LE,high,low,B02,2,true,8,6,8,58,29,0,15,51,0,3,0,2,4
P23,20,male,left,de,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,HC_HE,high,high,B03,3,true,8,7,8,51,33,6,6,60,0,0,0,2,4
P23,20,male,left,de,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,LC_HE,low,high,B04,4,true,8,8,8,39,38,4,25,60,0,7,0,2,4
P23,20,male,left,de,2,Hand,Dynamic Hands + Static Icosphere,2,Env-mapping first,LC_LE,low,low,B01,1,true,9,6,8,80,35,0,19,70,0,0,0,3,4
P23,20,male,left,de,2,Hand,Dynamic Hands + Static Icosphere,2,Env-mapping first,HC_LE,high,low,B02,2,true,9,7,9,69,52,0,27,67,0,0,0,5,5
P23,20,male,left,de,2,Hand,Dynamic Hands + Static Icosphere,2,Env-mapping first,HC_HE,high,high,B03,3,true,8,7,8,50,29,0,6,50,0,0,0,3,4
P23,20,male,left,de,2,Hand,Dynamic Hands + Static Icosphere,2,Env-mapping first,LC_HE,low,high,B04,4,true,8,7,8,73,55,15,6,55,0,0,0,3,3
P24,37,male,right,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,LC_LE,low,low,B01,1,true,7,6,9,45,32,0,2,7,3,0,0,6,6
P24,37,male,right,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,HC_LE,high,low,B02,2,true,7,6,9,13,20,0,5,7,5,1,2,5,6
P24,37,male,right,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,LC_HE,low,high,B03,3,true,4,5,6,14,13,7,2,10,13,8,0,5,6
P24,37,male,right,en,1,Env,Static Hands + Dynamic Icosphere,1,Env-mapping first,HC_HE,high,high,B04,4,true,5,5,9,10,12,1,2,4,3,0,3,6,6
